bucket_start_ns,count
0,0
100,710
200,40913
300,227421
400,92797
500,341327
600,283711
700,158331
800,122385
900,105823
1000,96806
1100,89131
1200,82907
1300,80224
1400,79874
1500,77537
1600,76726
1700,74454
1800,72712
1900,67243
2000,48214
2100,31479
2200,24382
2300,20796
2400,17051
2500,13836
2600,11744
2700,10087
2800,9531
2900,8419
3000,7536
3100,6300
3200,5054
3300,4044
3400,3153
3500,2413
3600,1965
3700,1713
3800,1624
3900,1650
4000,1523
4100,1436
4200,1332
4300,1271
4400,1276
4500,1222
4600,1033
4700,865
4800,730
4900,598
5000,530
5100,466
5200,412
5300,388
5400,391
5500,354
5600,374
5700,338
5800,333
5900,289
6000,305
6100,263
6200,285
6300,281
6400,259
6500,231
6600,210
6700,229
6800,191
6900,190
7000,190
7100,193
7200,204
7300,151
7400,163
7500,155
7600,180
7700,162
7800,143
7900,114
8000,161
8100,139
8200,138
8300,118
8400,141
8500,145
8600,141
8700,123
8800,142
8900,128
9000,143
9100,114
9200,104
9300,111
9400,100
9500,87
9600,98
9700,103
9800,94
9900,74
10000,96
10100,68
10200,63
10300,62
10400,57
10500,53
10600,61
10700,60
10800,51
10900,54
11000,61
11100,46
11200,50
11300,64
11400,47
11500,52
11600,57
11700,45
11800,42
11900,42
12000,52
12100,45
12200,43
12300,42
12400,37
12500,50
12600,36
12700,41
12800,41
12900,39
13000,39
13100,36
13200,39
13300,45
13400,37
13500,32
13600,36
13700,29
13800,33
13900,33
14000,31
14100,31
14200,34
14300,27
14400,48
14500,27
14600,18
14700,27
14800,26
14900,23
15000,23
15100,31
15200,27
15300,20
15400,25
15500,19
15600,17
15700,19
15800,22
15900,32
16000,23
16100,19
16200,24
16300,25
16400,24
16500,20
16600,30
16700,23
16800,26
16900,20
17000,19
17100,20
17200,16
17300,17
17400,18
17500,24
17600,19
17700,23
17800,19
17900,13
18000,16
18100,25
18200,19
18300,20
18400,20
18500,14
18600,20
18700,13
18800,26
18900,24
19000,26
19100,18
19200,29
19300,28
19400,25
19500,6
19600,16
19700,17
19800,11
19900,13
20000,21
20100,24
20200,31
20300,10
20400,30
20500,14
20600,21
20700,15
20800,17
20900,10
21000,18
21100,16
21200,23
21300,21
21400,16
21500,13
21600,22
21700,13
21800,13
21900,17
22000,18
22100,14
22200,15
22300,10
22400,15
22500,11
22600,12
22700,14
22800,14
22900,17
23000,15
23100,18
23200,14
23300,18
23400,15
23500,10
23600,10
23700,14
23800,11
23900,7
24000,24
24100,22
24200,13
24300,15
24400,14
24500,24
24600,15
24700,10
24800,17
24900,12
25000,14
25100,14
25200,14
25300,20
25400,16
25500,12
25600,28
25700,21
25800,11
25900,11
26000,14
26100,20
26200,14
26300,12
26400,20
26500,15
26600,13
26700,13
26800,17
26900,18
27000,23
27100,17
27200,15
27300,10
27400,22
27500,13
27600,20
27700,13
27800,17
27900,13
28000,15
28100,15
28200,20
28300,15
28400,11
28500,14
28600,18
28700,14
28800,10
28900,21
29000,14
29100,14
29200,13
29300,17
29400,13
29500,16
29600,13
29700,15
29800,18
29900,19
30000,12
30100,16
30200,9
30300,13
30400,11
30500,11
30600,14
30700,18
30800,17
30900,15
31000,13
31100,12
31200,14
31300,15
31400,12
31500,13
31600,13
31700,11
31800,16
31900,12
32000,18
32100,24
32200,10
32300,14
32400,11
32500,12
32600,9
32700,12
32800,12
32900,20
33000,19
33100,12
33200,16
33300,15
33400,15
33500,15
33600,12
33700,13
33800,9
33900,13
34000,9
34100,10
34200,11
34300,15
34400,16
34500,16
34600,8
34700,25
34800,14
34900,5
35000,12
35100,17
35200,9
35300,17
35400,9
35500,16
35600,12
35700,12
35800,13
35900,14
36000,9
36100,12
36200,18
36300,15
36400,17
36500,8
36600,12
36700,9
36800,15
36900,15
37000,7
37100,9
37200,4
37300,14
37400,13
37500,20
37600,8
37700,14
37800,14
37900,10
38000,17
38100,11
38200,8
38300,9
38400,15
38500,8
38600,11
38700,16
38800,15
38900,13
39000,11
39100,9
39200,8
39300,10
39400,15
39500,16
39600,17
39700,8
39800,9
39900,13
40000,15
40100,17
40200,12
40300,9
40400,9
40500,16
40600,12
40700,11
40800,12
40900,14
41000,11
41100,16
41200,16
41300,16
41400,14
41500,14
41600,8
41700,9
41800,19
41900,12
42000,10
42100,5
42200,13
42300,14
42400,7
42500,10
42600,11
42700,7
42800,11
42900,9
43000,9
43100,8
43200,8
43300,14
43400,11
43500,8
43600,4
43700,9
43800,14
43900,6
44000,15
44100,13
44200,11
44300,10
44400,11
44500,16
44600,14
44700,13
44800,15
44900,19
45000,15
45100,17
45200,11
45300,15
45400,13
45500,10
45600,9
45700,6
45800,9
45900,8
46000,14
46100,12
46200,11
