Time,Total_Candles,Gaps,Win_Feed_P50,Win_Feed_P99,Win_Feed_P999,Win_Feed_Max,Win_Int_P50,Win_Int_P99,Win_Int_P999,Win_Int_Max,Win_Aud_P50,Win_Aud_P99,Win_Aud_P999,Win_Aud_Max,Glb_Feed_P50,Glb_Feed_P99,Glb_Feed_P999,Glb_Feed_Max,Glb_Int_P50,Glb_Int_P99,Glb_Int_P999,Glb_Int_Max,Glb_Aud_P50,Glb_Aud_P99,Glb_Aud_P999,Glb_Aud_Max
2026-01-21 04:55:37,2322,0,9.2658e+06,1.58574e+08,1.59826e+08,1.60426e+08,3520,15867,72111,127957,647,4468,68890,70595,9.259e+06,1.585e+08,1.598e+08,1.60426e+08,3500,15800,72100,127957,600,4400,68800,70595
2026-01-21 05:05:37,4076,0,1.44977e+07,1.58673e+08,1.59998e+08,1.6057e+08,5741,14799,51539,59339,623,3325,18642,34527,1.044e+07,1.586e+08,1.599e+08,1.6057e+08,4300,15300,51500,127957,600,3400,34500,70595
2026-01-21 05:15:37,6136,0,9.2309e+06,1.58547e+08,1.59994e+08,1.603e+08,3460,17339,79104,84130,659,3632,38435,50704,9.767e+06,1.586e+08,1.599e+08,1.6057e+08,3900,15400,72100,127957,600,3500,38100,70595
2026-01-21 05:25:37,7691,0,1.3836e+07,1.5887e+08,1.60844e+08,1.65043e+08,5889,21695,54956,78796,622,13169,91634,97768,1.038e+07,1.586e+08,1.601e+08,1.65043e+08,4300,16100,72100,127957,600,4100,51400,97768
2026-01-21 05:35:37,10887,0,9.14037e+06,1.58412e+08,1.59425e+08,1.6011e+08,2774,19477,99018,146586,797,4371,40994,106289,9.67e+06,1.585e+08,1.599e+08,1.65043e+08,3700,16500,74400,146586,600,4200,50900,106289
2026-01-21 05:45:37,15050,0,9.88558e+06,1.58303e+08,1.59954e+08,1.61212e+08,2936,14020,51135,67597,711,3599,45049,62642,9.772e+06,1.585e+08,1.599e+08,1.65043e+08,3500,15700,68500,146586,600,4100,50400,106289
2026-01-21 05:55:37,19938,0,9.00811e+06,1.58224e+08,1.60102e+08,1.6183e+08,2740,15998,60844,74719,735,4812,108232,194469,9.53e+06,1.584e+08,1.6e+08,1.65043e+08,3300,15800,66600,146586,600,4200,61600,194469
2026-01-21 06:05:37,22970,0,1.00988e+07,1.58576e+08,1.59673e+08,1.61e+08,4993,24845,183937,200689,673,6085,137722,478149,9.558e+06,1.584e+08,1.599e+08,1.65043e+08,3400,16500,79100,200689,600,4300,83200,478149
2026-01-21 06:15:37,25097,0,1.41598e+07,1.58719e+08,1.5978e+08,1.61188e+08,5859,15662,78746,88226,652,6231,56388,88435,9.67e+06,1.585e+08,1.599e+08,1.65043e+08,3600,16400,79100,200689,600,4500,74600,478149
2026-01-21 06:25:37,27219,0,1.00204e+07,1.58835e+08,1.60405e+08,1.60966e+08,4456,17758,59933,83934,672,4374,65855,82997,9.694e+06,1.585e+08,1.599e+08,1.65043e+08,3600,16400,78700,200689,600,4500,70500,478149
